Quantity,Value,Footprint,Reference
2,100nF/100V/10%/X7R/C0603,C_0603_5MIL_DWS,"C1, C4"
1,100uF/63V/20%/Low_ESR/RM5/10x13MM,CPOL-RM5mm_10.0x16.0mm_PTH,C2
1,12pF/50V/5%/C0G/C0402,C_0402_5MIL_DWS,C5
1,470uF/16V/20%/LOW_ESR/RM3.5/8x12MM,CPOL-RM3.5mm_8.0x11.5mm_PTH,C6
1,CABLE-PH2-4-60-R,Cable-IDC,Cable-PoE1
1,SMAJ58A/SMA,SMA-KA,D1
1,SS510/100V/5A/0.85V/DO214AB(SMC),DO214AB(SMC)_1(K)-2(A),D2
1,33uH/2.1A/DCR=0.1R/20%/DBS135(PD3316MT330),HSMRH129_12.0x12.5x9.5(max),L1
1,PH2.0-4AT,PH2.0-4PLB,POE_PWR1
1,24.9k/1%/R0402,R_0402_5MIL_DWS,R1
1,1.27k/1%/62.5mW/R0402,R_0402_5MIL_DWS,R2
1,66.5R/1%/125mW/R0805,R_0805_5MIL_DWS,R3
2,9.1k/1W/R2512,R_2512_MM_DWS,"R4, R5"
2,0.03R/1%/R1206,R_1206_5MIL_DWS,"R6, R7"
1,4.7R/R0402,R_0402_5MIL_DWS,R8
1,5.23k/1%/R0402,R_0402_5MIL_DWS,R10
1,30.1k/1%/R0402,R_0402_5MIL_DWS,R11
1,TPS2378DDAR(HSOIC-8),ESOIC-8,U1
1,TX4138(ESOIC-8),ESOIC-8,U2
